id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26445550,Stylish family-friendly apt. with sunny balcony,26157408,Siv,,Vesterbro-Kongens Enghave,55.64802,12.53193,Entire home/apt,1119,5,1,2018-07-27,0.05,1,0
26448348,Familyfriendly apartment in hip area,13970324,Emil & Irene,,Nrrebro,55.69466,12.54252,Entire home/apt,751,3,4,2019-06-28,0.20,1,2
26448498,Cozy light apartment near city and park,7195069,Thomas,,sterbro,55.70857,12.57929,Entire home/apt,652,3,3,2019-08-16,0.43,1,9
26450010,Fantastisk lys lejlighed lige ved søerne,28751011,Jonas,,sterbro,55.69733,12.5796,Entire home/apt,903,2,15,2020-02-11,0.76,1,2
26450058,"Hyggelig lejlighed med kæmpe altan, tæt på metroen",100509699,Cille,,Frederiksberg,55.6843,12.52427,Entire home/apt,498,4,31,2019-12-16,1.56,1,3
26452761,"Lovely home w balcony • Frederiksberg, central CPH",83386743,Ingrid,,Frederiksberg,55.6918,12.53349,Entire home/apt,502,2,4,2020-01-28,0.22,1,7
26455426,Apartment in Carlsberg City,12438316,Jesper,,Vesterbro-Kongens Enghave,55.66701,12.53501,Entire home/apt,1003,2,4,2018-07-30,0.20,1,0
26459399,Amazing penthouse Copenhagen city,2238230,Anja,,Nrrebro,55.6861,12.55873,Entire home/apt,1202,2,10,2019-09-17,0.52,1,177
26460642,"Light, spacious, quiet and close to ocean & metro",1267882,Niels,,Amager st,55.66208,12.60953,Entire home/apt,682,3,26,2020-01-28,1.30,1,1
26461456,Nice apartment in the center of Vesterbro,107660519,Anna Louise,,Vesterbro-Kongens Enghave,55.66873,12.54473,Entire home/apt,648,4,2,2018-09-06,0.11,1,0
26462213,Cozy one room apartment in Frederiksberg,46752111,Vlad Alexandru,,Frederiksberg,55.67247,12.50537,Private room,259,1,17,2020-02-24,0.87,1,0
26463046,Lej et værelse tæt på City,198996004,Camilla,,Amager Vest,55.65165,12.59508,Private room,498,1,2,2018-08-19,0.11,1,0
26463216,Cozy two bedroom apartment ideal for families,26646562,Christoffer,,Vesterbro-Kongens Enghave,55.66933,12.55078,Entire home/apt,901,3,0,,,1,0
26463477,"Newly renovated bright apartment, central location",5799242,Mathias,,Frederiksberg,55.67831,12.55394,Entire home/apt,600,4,8,2019-08-07,0.43,1,0
26466736,Stor lys lejlighed på det charmerende Nørrebro,199023551,Jane,,Bispebjerg,55.6996,12.53526,Entire home/apt,1201,1,2,2018-09-30,0.10,1,0
26466844,Charming  bright center; walking to museums,199027377,Rinette,,Indre By,55.69073,12.57752,Entire home/apt,896,3,12,2019-10-15,0.79,1,29
26468232,"Chill place for couples or friends
74m2",190229286,Theis,,Nrrebro,55.70002,12.54877,Entire home/apt,600,3,8,2019-09-08,0.41,1,0
26470044,Sunny balcony and close to CPH city and the beach,26888838,Marie,,Amager st,55.66582,12.61112,Entire home/apt,949,5,5,2018-07-28,0.25,1,0
26471013,Charming old bungalow in Copenhagen,95440436,Niels Christian,,Brnshj-Husum,55.70044,12.49733,Private room,502,3,13,2019-09-02,0.68,1,57
26473492,Lille hyggelig lejlighed på Frederiksberg,82619492,Jacob,,Frederiksberg,55.68765,12.53717,Entire home/apt,591,4,7,2019-06-11,0.37,1,28
